,url,address,title,area,rooms,bathrooms,garages,price,date
95,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-102m2-venda-RS520000-id-2499691926/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 102m²
",102,3,2,1,520000,2020-11-14 
96,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-145m2-venda-RS595000-id-2496017809/?__vt=lnv:c,"Rua Antônio Mattos Areas, 64 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 145m²
",145,3,4,1,595000,2020-11-14 
97,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-115m2-venda-RS550000-id-2488111278/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 115m²
",115,3,1,1,550000,2020-11-14 
98,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-89m2-venda-RS690000-id-2500385779/?__vt=lnv:c,"Rua José Cândido da Silva, 385 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 89m²
",89,3,1,2,690000,2020-11-14 
99,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-128m2-venda-RS540000-id-2475434011/?__vt=lnv:c,"Rua Professor João José Cabral, 127 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 128m²
",128,3,2,1,540000,2020-11-14 
100,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-125m2-venda-RS899900-id-2477350182/?__vt=lnv:c,"Rua Sérgio Gil, 50 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 125m²
",125,3,4,2,899900,2020-11-14 
102,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-84m2-venda-RS445000-id-2494243593/?__vt=lnv:c,"Rua Tijucas, 45 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 84m²
",84,3,2,1,445000,2020-11-14 
103,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-116m2-venda-RS735000-id-2492684188/?__vt=lnv:c,"Rua São Pedro, 397 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 116m²
",116,3,3,1,735000,2020-11-14 
104,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS665000-id-2495640505/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,2,1,665000,2020-11-14 
105,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-120m2-venda-RS685000-id-2478772284/?__vt=lnv:c,"Rua São Pedro, 422 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 120m²
",120,3,3,2,685000,2020-11-14 
